MONTH,BH,HB,JCLB,JCMC,SQ,TB,BQ
2018-12-01,252,0.19092,蔬菜,豆角,5.21,-0.045569,6.21
2018-12-01,253,-0.097271,蔬菜,白花菜,6.14,0.082151,5.54
2018-12-01,254,0.007785,蔬菜,土豆,3.16,0.082111,3.18
2018-12-01,255,-0.156815,蔬菜,西芹,4.83,-0.043527,4.07
2018-12-01,256,-0.027923,蔬菜,丝瓜,5.77,-0.133713,5.61
2018-12-01,257,-0.057709,蔬菜,莴笋,3.44,-0.055232,3.24
2018-12-01,258,0.004898,蔬菜,西洋菜,5,-0.001151,5.03
2018-12-01,259,-0.096413,蔬菜,芥菜,4.07,-0.049504,3.68
2018-12-01,260,0.114359,蔬菜,通心菜,4.32,0.031028,4.81
2018-12-01,261,-0.04076,蔬菜,芥兰,4.95,-0.092555,4.75
2018-12-01,262,0.004553,蔬菜,南瓜,2.12,-0.093519,2.13
2018-12-01,263,0.006917,蔬菜,莲藕,4.8,-0.015026,4.83
2018-12-01,264,-0.018573,蔬菜,奶白菜,4.63,0.065113,4.55
2018-12-01,265,-0.00179,蔬菜,苦瓜,5.04,-0.031218,5.03
2019-02-01,346,0.157594,蔬菜,油麦菜,3.79,0.005396,4.39
2019-02-01,344,0.228487,蔬菜,芹菜,4.83,0.010152,5.94
2019-02-01,345,-0.02917,蔬菜,韭菜,5.49,0.01102,5.33
2019-02-01,347,0.11199,蔬菜,菜心,5.2,-0.205882,5.78
2019-02-01,348,0.242057,蔬菜,生菜,3.66,-0.031464,4.55
2019-02-01,349,0.120017,蔬菜,蒜苗,7.08,0.131139,7.93
2019-02-01,350,-0.015786,蔬菜,冬瓜,2.57,-0.063251,2.53
2019-02-01,351,0.236629,蔬菜,黄瓜,4.83,0.114531,5.97
2019-02-01,352,0.088031,蔬菜,西红柿,4.79,0.106103,5.21
2019-02-01,353,0.024858,蔬菜,茄子,4.72,-0.213209,4.84
2019-02-01,354,0.19533,蔬菜,白萝卜,1.91,-0.067522,2.28
2019-02-01,355,0.038059,蔬菜,胡萝卜,3.48,-0.044971,3.61
2019-02-01,356,0.22907,蔬菜,尖椒,3.91,-0.202517,4.81
2019-02-01,357,0.187754,蔬菜,青圆椒,5.4,0.078029,6.41
2019-02-01,358,0.314204,蔬菜,豆角,6.74,0.071422,8.86
2019-02-01,359,-0.049231,蔬菜,白花菜,5.19,-0.147884,4.94
2019-02-01,360,0.029882,蔬菜,土豆,3.31,0.105053,3.41
2019-02-01,361,0.239158,蔬菜,西芹,3.87,0.119238,4.8
2019-02-01,362,-0.024787,蔬菜,丝瓜,6.52,-0.183434,6.36
2019-02-01,363,0.09593,蔬菜,莴笋,3.42,-0.027171,3.75
2019-02-01,364,0.001725,蔬菜,西洋菜,5.09,0.002877,5.1
2019-02-01,365,0.009889,蔬菜,芥菜,3.91,-0.101657,3.95
2019-02-01,366,0.03561,蔬菜,通心菜,5.45,0.057878,5.64
2019-02-01,367,0.287585,蔬菜,芥兰,5.1,-0.143835,6.56
2019-02-01,368,0.055008,蔬菜,南瓜,2.3,-0.237464,2.43
2019-01-01,285,0.001865,蔬菜,生姜,7.04,0.001238,7.06
2019-01-01,286,0.036633,蔬菜,蒜头,5.4,-0.138187,5.6
2019-01-01,287,0.059373,蔬菜,大白菜,1.75,0.087017,1.85
2019-01-01,288,-0.025208,蔬菜,卷心菜,2.29,-0.073746,2.23
2019-01-01,289,0.076005,蔬菜,菠菜,5.13,0.078801,5.53
2019-01-01,290,0.141684,蔬菜,上海青,3.61,0.152529,4.12
2019-01-01,291,-0.043632,蔬菜,芹菜,5.05,-0.141458,4.83
2019-01-01,292,0.167544,蔬菜,韭菜,4.7,-0.013743,5.49
2019-01-01,293,0.066281,蔬菜,油麦菜,3.56,0.008348,3.79
2019-01-01,294,0.118873,蔬菜,菜心,4.65,0.057452,5.2
2019-01-01,295,0.152803,蔬菜,生菜,3.18,-0.007898,3.66
2019-01-01,296,0.034412,蔬菜,蒜苗,6.85,0.113756,7.08
2019-01-01,297,0.114554,蔬菜,冬瓜,2.31,0.134588,2.57
2019-01-01,298,0.034145,蔬菜,黄瓜,4.67,0.272169,4.83
2019-01-01,299,-0.061656,蔬菜,西红柿,5.1,0.112475,4.79
2019-01-01,300,0.089147,蔬菜,茄子,4.33,-0.051486,4.72
2019-01-01,301,0.117147,蔬菜,白萝卜,1.71,0.091354,1.91
2019-01-01,302,0.026683,蔬菜,胡萝卜,3.39,0.017818,3.48
2019-01-01,303,0.039793,蔬菜,尖椒,3.76,-0.18293,3.91
2019-01-01,304,-0.016193,蔬菜,青圆椒,5.49,0.114512,5.4
2019-01-01,305,0.086064,蔬菜,豆角,6.21,0.006825,6.74
2019-01-01,306,-0.062596,蔬菜,白花菜,5.54,0.014865,5.19
2019-01-01,307,0.04039,蔬菜,土豆,3.18,0.071933,3.31
2019-01-01,308,-0.049163,蔬菜,西芹,4.07,-0.005638,3.87
2019-01-01,309,0.162921,蔬菜,丝瓜,5.61,-0.002761,6.52
2019-01-01,310,0.054932,蔬菜,莴笋,3.24,-0.069936,3.42
2019-01-01,311,0.013574,蔬菜,西洋菜,5.03,0.135968,5.09
2019-01-01,312,0.063203,蔬菜,芥菜,3.68,0.070644,3.91
2019-01-01,313,0.132613,蔬菜,通心菜,4.81,-0.034008,5.45
2019-01-01,314,0.073322,蔬菜,芥兰,4.75,0.031767,5.1
2019-01-01,315,0.083071,蔬菜,南瓜,2.13,-0.115431,2.3
2019-01-01,316,0.023057,蔬菜,莲藕,4.83,0.013564,4.94
2019-01-01,317,0.048123,蔬菜,奶白菜,4.55,0.078184,4.76
2019-01-01,318,0.259673,蔬菜,苦瓜,5.03,0.144027,6.34
2019-02-01,369,0.312644,蔬菜,莲藕,4.94,0.051256,6.49
2019-02-01,370,0.092794,蔬菜,奶白菜,4.76,-0.026791,5.21
2019-02-01,371,0.054157,蔬菜,苦瓜,6.34,0.008732,6.68
2019-03-01,391,0.002666,蔬菜,生姜,7.19,0.006166,7.21
2019-03-01,392,0.109594,蔬菜,蒜头,6.01,0.027943,6.66
2018-08-01,20,-0.004995,蔬菜,生姜,7.05,0.016533,7.01
2018-08-01,21,0.004009,蔬菜,蒜头,5.44,-0.210535,5.46
2018-08-01,22,0.002241,蔬菜,大白菜,2.67,0.051422,2.67
2018-08-01,23,0.007142,蔬菜,卷心菜,2.81,0.04342,2.83
2018-08-01,24,0.048376,蔬菜,菠菜,7.6,0.08982,7.97
2018-08-01,25,0.048111,蔬菜,上海青,3.92,-0.105437,4.11
2018-08-01,26,0.127899,蔬菜,芹菜,6,-0.000788,6.77
2018-08-01,27,0.004086,蔬菜,韭菜,4.06,-0.109229,4.08
2018-08-01,28,0.094177,蔬菜,油麦菜,3.85,-0.054301,4.22
2018-08-01,29,0.040515,蔬菜,菜心,5.46,0.024777,5.68
2018-08-01,30,0.048597,蔬菜,生菜,3.79,-0.198483,3.97
2018-08-01,31,0.030575,蔬菜,蒜苗,6.16,-0.006529,6.35
2018-08-01,32,-0.006566,蔬菜,冬瓜,2.1,0.013483,2.09
2018-08-01,33,0.180046,蔬菜,黄瓜,3.57,0.116884,4.21
2018-08-01,34,-0.025156,蔬菜,西红柿,4.3,-0.140656,4.19
2018-08-01,35,-0.036521,蔬菜,茄子,3.54,-0.085371,3.41
2018-08-01,36,0.159839,蔬菜,白萝卜,2.08,0.046738,2.41
2018-08-01,37,0.012504,蔬菜,胡萝卜,3.32,-0.035357,3.36
2018-08-01,38,-0.020325,蔬菜,尖椒,4.19,-0.022245,4.1
2018-08-01,39,-0.013083,蔬菜,青圆椒,5.31,0.091575,5.24
2018-08-01,40,-0.052323,蔬菜,豆角,5.05,-0.047115,4.78
2018-08-01,41,-0.015203,蔬菜,白花菜,6.08,0.141195,5.99
2018-08-01,42,0.026857,蔬菜,土豆,3.07,0.058699,3.15
2018-08-01,43,0.005113,蔬菜,西芹,4.82,-0.028131,4.85
2018-08-01,44,0.084149,蔬菜,丝瓜,4.99,-0.075832,5.41
2018-08-01,45,0.114369,蔬菜,莴笋,3.53,-0.051864,3.93
2018-08-01,46,-0.065576,蔬菜,西洋菜,6.06,-0.011291,5.66
2018-08-01,47,0.025681,蔬菜,芥菜,4.51,-0.049901,4.63
2018-08-01,48,0.031691,蔬菜,通心菜,3.73,-0.018207,3.85
2018-08-01,49,0.053014,蔬菜,芥兰,5.15,0.023708,5.43
2018-08-01,50,0.021656,蔬菜,南瓜,2.22,0.015013,2.26
2018-08-01,51,-0.09569,蔬菜,莲藕,5.46,-0.087234,4.93
2018-08-01,52,0.017949,蔬菜,奶白菜,4.88,0.038032,4.97
2018-08-01,53,0.010063,蔬菜,苦瓜,3.89,-0.162476,3.93
2018-09-01,73,0.028411,蔬菜,生姜,7.01,-0.056981,7.21
2018-09-01,74,0.087378,蔬菜,蒜头,5.46,-0.149792,5.94
2018-09-01,75,0.209286,蔬菜,大白菜,2.67,0.269503,3.23
2018-09-01,76,0.11943,蔬菜,卷心菜,2.83,0.081585,3.17
2018-09-01,77,0.07286,蔬菜,菠菜,7.97,-0.024902,8.55
2018-09-01,78,0.317691,蔬菜,上海青,4.11,0.125957,5.42
2018-09-01,79,0.240877,蔬菜,芹菜,6.77,0.007009,8.4
2018-09-01,80,0.333264,蔬菜,韭菜,4.08,0.180558,5.43
2018-09-01,81,0.313151,蔬菜,油麦菜,4.22,0.140409,5.54
2018-09-01,82,0.219465,蔬菜,菜心,5.68,0.270956,6.93
2018-09-01,83,0.414813,蔬菜,生菜,3.97,0.167694,5.62
2018-09-01,84,0.110616,蔬菜,蒜苗,6.35,0.089484,7.05
2018-09-01,85,0.050177,蔬菜,冬瓜,2.09,0.036999,2.19
2018-09-01,86,0.186323,蔬菜,黄瓜,4.21,0.358584,5
2018-09-01,87,0.385254,蔬菜,西红柿,4.19,0.176471,5.8
2018-09-01,88,0.261948,蔬菜,茄子,3.41,0.078592,4.3
2018-09-01,89,0.043211,蔬菜,白萝卜,2.41,-0.004232,2.52
2018-09-01,90,0.058101,蔬菜,胡萝卜,3.36,0.07157,3.55
2018-09-01,91,0.283517,蔬菜,尖椒,4.1,0.224167,5.27
2018-09-01,92,0.299921,蔬菜,青圆椒,5.24,0.336605,6.81
2018-09-01,93,0.234338,蔬菜,豆角,4.78,0.144266,5.91
2018-09-01,94,0.097545,蔬菜,白花菜,5.99,0.166075,6.57
2018-09-01,95,0.110837,蔬菜,土豆,3.15,0.174003,3.5
2018-09-01,96,0.141539,蔬菜,西芹,4.85,0.228312,5.53
2018-09-01,97,0.258776,蔬菜,丝瓜,5.41,0.154602,6.82
2018-09-01,98,0.13131,蔬菜,莴笋,3.93,0.027596,4.45
2018-09-01,99,0.119007,蔬菜,西洋菜,5.66,0.062322,6.34
2018-09-01,100,0.143089,蔬菜,芥菜,4.63,0.089735,5.29
2018-09-01,101,0.539349,蔬菜,通心菜,3.85,0.380709,5.93
2018-09-01,102,0.224185,蔬菜,芥兰,5.43,0.189003,6.64
2018-09-01,103,-0.001537,蔬菜,南瓜,2.26,0.012804,2.26
2018-09-01,104,0.070043,蔬菜,莲藕,4.93,-0.019548,5.28
2018-09-01,105,0.168201,蔬菜,奶白菜,4.97,0.068862,5.81
2018-09-01,106,0.506037,蔬菜,苦瓜,3.93,0.104949,5.92
2018-10-01,126,0.016689,蔬菜,生姜,7.21,-0.08697,7.33
2018-10-01,127,-0.037776,蔬菜,蒜头,5.94,-0.176117,5.71
2018-10-01,128,-0.102098,蔬菜,大白菜,3.23,0.158547,2.9
2018-10-01,129,-0.115364,蔬菜,卷心菜,3.17,-0.00666,2.8
2018-10-01,130,-0.143802,蔬菜,菠菜,8.55,0.033228,7.32
2018-10-01,131,-0.189123,蔬菜,上海青,5.42,0.05609,4.39
2018-10-01,132,-0.051156,蔬菜,芹菜,8.4,0.089873,7.97
2018-10-01,133,0.01834,蔬菜,韭菜,5.43,0.246678,5.53
2018-10-01,134,-0.090143,蔬菜,油麦菜,5.54,0.124737,5.04
2018-10-01,135,-0.186521,蔬菜,菜心,6.93,0.035533,5.63
2018-10-01,136,-0.043012,蔬菜,生菜,5.62,0.21823,5.38
2018-10-01,137,0.028901,蔬菜,蒜苗,7.05,0.139047,7.25
2018-10-01,138,0.046083,蔬菜,冬瓜,2.19,0.052141,2.29
2018-10-01,139,-0.034337,蔬菜,黄瓜,5,0.303095,4.83
2018-10-01,140,0.193032,蔬菜,西红柿,5.8,0.500711,6.92
2018-10-01,141,0.044549,蔬菜,茄子,4.3,0.227929,4.49
2018-10-01,142,-0.085172,蔬菜,白萝卜,2.52,-0.054844,2.3
2018-10-01,143,0.011637,蔬菜,胡萝卜,3.55,0.190188,3.59
2018-10-01,144,0.137528,蔬菜,尖椒,5.27,0.468594,5.99
2018-10-01,145,0.233074,蔬菜,青圆椒,6.81,0.655266,8.39
2018-10-01,146,-0.040443,蔬菜,豆角,5.91,0.105082,5.67
2018-10-01,147,0.043316,蔬菜,白花菜,6.57,0.261546,6.85
2018-10-01,148,-0.04332,蔬菜,土豆,3.5,0.154565,3.35
2018-10-01,149,0.091702,蔬菜,西芹,5.53,0.34052,6.04
2018-10-01,150,-0.008644,蔬菜,丝瓜,6.82,0.198619,6.76
2018-10-01,151,-0.009422,蔬菜,莴笋,4.45,0.007183,4.41
2018-10-01,152,0.0838,蔬菜,西洋菜,6.34,0.089177,6.87
2018-10-01,153,-0.113058,蔬菜,芥菜,5.29,-0.022139,4.69
2018-10-01,154,-0.209258,蔬菜,通心菜,5.93,0.167537,4.69
2018-10-01,155,-0.054188,蔬菜,芥兰,6.64,0.070677,6.28
2018-10-01,156,0.000553,蔬菜,南瓜,2.26,-0.033115,2.26
2018-10-01,157,-0.082773,蔬菜,莲藕,5.28,-0.073784,4.84
2018-10-01,158,-0.068606,蔬菜,奶白菜,5.81,0.077876,5.41
2018-10-01,159,0.002617,蔬菜,苦瓜,5.92,0.303699,5.94
2019-03-01,393,-0.021182,蔬菜,大白菜,2.24,0.166519,2.2
2019-03-01,394,-0.021162,蔬菜,卷心菜,2.52,0.064186,2.46
2019-03-01,395,0.10902,蔬菜,菠菜,5.59,0.372362,6.2
2019-03-01,396,-0.018598,蔬菜,上海青,4.36,0.171819,4.28
2019-03-01,397,0.009684,蔬菜,芹菜,5.94,0.284949,6
2019-03-01,398,-0.105822,蔬菜,韭菜,5.33,0.205104,4.76
2019-03-01,399,0.021458,蔬菜,油麦菜,4.39,0.240354,4.48
2019-03-01,400,0.104253,蔬菜,菜心,5.78,0.043719,6.38
2019-03-01,401,-0.021489,蔬菜,生菜,4.55,0.248722,4.45
2019-03-01,402,0.07896,蔬菜,蒜苗,7.93,0.330986,8.56
2019-03-01,403,0.083673,蔬菜,冬瓜,2.53,-0.020567,2.74
2019-03-01,404,-0.090562,蔬菜,黄瓜,5.97,0.266528,5.43
2019-03-01,405,-0.038407,蔬菜,西红柿,5.21,0.268199,5.01
2019-03-01,406,0.088418,蔬菜,茄子,4.84,0.084058,5.26
2019-03-01,407,-0.010142,蔬菜,白萝卜,2.28,0.018723,2.26
2019-03-01,408,-0.088271,蔬菜,胡萝卜,3.61,-0.041513,3.29
2019-03-01,409,0.163211,蔬菜,尖椒,4.81,0.235279,5.6
2019-03-01,410,0.001195,蔬菜,青圆椒,6.41,0.274429,6.42
2019-03-01,411,-0.043895,蔬菜,豆角,8.86,0.105358,8.47
2019-03-01,412,0.008186,蔬菜,白花菜,4.94,-0.036924,4.98
2019-03-01,413,-0.005203,蔬菜,土豆,3.41,0.122024,3.39
2019-03-01,414,0.056046,蔬菜,西芹,4.8,0.346611,5.07
2019-03-01,415,0.064963,蔬菜,丝瓜,6.36,-0.152157,6.77
2019-03-01,416,0.168909,蔬菜,莴笋,3.75,0.257817,4.38
2019-03-01,417,0.079393,蔬菜,西洋菜,5.1,0.230186,5.51
2019-03-01,418,0.051124,蔬菜,芥菜,3.95,0.057258,4.15
2019-03-01,419,0.005451,蔬菜,通心菜,5.64,0.044247,5.67
2019-03-01,420,0.131716,蔬菜,芥兰,6.56,0.212025,7.43
2019-03-01,421,0.016318,蔬菜,南瓜,2.43,-0.272312,2.47
2019-03-01,422,-0.063249,蔬菜,莲藕,6.49,0.127157,6.08
2019-03-01,423,-0.001569,蔬菜,奶白菜,5.21,0.157509,5.2
2019-03-01,424,0.001272,蔬菜,苦瓜,6.68,0.059145,6.69
2019-04-01,444,-0.003954,蔬菜,生姜,7.21,0.017937,7.18
2019-04-01,445,-0.020257,蔬菜,蒜头,6.66,0.062571,6.53
2019-04-01,446,0.268109,蔬菜,大白菜,2.2,0.197977,2.78
2019-04-01,447,0.202192,蔬菜,卷心菜,2.46,0.317464,2.96
2019-04-01,448,-0.02791,蔬菜,菠菜,6.2,0.136672,6.03
2019-04-01,449,-0.013659,蔬菜,上海青,4.28,0.277056,4.22
2019-04-01,450,0.002335,蔬菜,芹菜,6,0.346706,6.01
2019-04-01,451,-0.042844,蔬菜,韭菜,4.76,0.192907,4.56
2019-04-01,452,-0.003235,蔬菜,油麦菜,4.48,0.386716,4.47
2019-04-01,453,-0.098457,蔬菜,菜心,6.38,0.156784,5.76
2019-04-01,454,0.013031,蔬菜,生菜,4.45,0.506264,4.51
2019-04-01,455,-0.053929,蔬菜,蒜苗,8.56,0.518807,8.1
2019-04-01,456,0.159286,蔬菜,冬瓜,2.74,0.177745,3.18
2019-04-01,457,-0.210972,蔬菜,黄瓜,5.43,0.106921,4.29
2019-04-01,458,-0.02185,蔬菜,西红柿,5.01,0.153683,4.9
2019-04-01,459,-0.095677,蔬菜,茄子,5.26,0.205879,4.76
2019-04-01,460,0.081822,蔬菜,白萝卜,2.26,0.136881,2.45
2019-04-01,461,-0.016545,蔬菜,胡萝卜,3.29,0.046181,3.24
2019-04-01,462,0.053426,蔬菜,尖椒,5.6,0.415316,5.9
2019-04-01,463,0.002881,蔬菜,青圆椒,6.42,0.142059,6.44
2019-04-01,464,-0.13401,蔬菜,豆角,8.47,0.322962,7.33
2019-04-01,465,0.09784,蔬菜,白花菜,4.98,0.010074,5.46
2019-04-01,466,-0.037572,蔬菜,土豆,3.39,0.135802,3.27
2019-04-01,467,0.191393,蔬菜,西芹,5.07,0.498076,6.04
2019-04-01,468,-0.051695,蔬菜,丝瓜,6.77,-0.093406,6.42
2019-04-01,469,-0.049658,蔬菜,莴笋,4.38,0.136674,4.16
2019-04-01,470,0.001997,蔬菜,西洋菜,5.51,0.224651,5.52
2019-04-01,471,0.00265,蔬菜,芥菜,4.15,0.060374,4.16
2019-04-01,472,-0.134785,蔬菜,通心菜,5.67,0.062229,4.91
2019-04-01,473,-0.079259,蔬菜,芥兰,7.43,0.255095,6.84
2019-04-01,474,0.08561,蔬菜,南瓜,2.47,-0.092846,2.68
2019-04-01,475,-0.02839,蔬菜,莲藕,6.08,0.330666,5.9
2019-04-01,476,0.028277,蔬菜,奶白菜,5.2,0.275776,5.35
2019-04-01,477,0.026987,蔬菜,苦瓜,6.69,0.176702,6.87
2019-06-01,550.0,0.029248,蔬菜,生姜,7.16,0.059438,7.37
2019-06-01,551.0,0.064635,蔬菜,蒜头,6.91,0.285027,7.35
2019-06-01,552.0,-0.066619,蔬菜,大白菜,2.64,-0.073026,2.46
2019-06-01,553.0,-0.056072,蔬菜,卷心菜,2.98,-0.002849,2.81
2019-06-01,554.0,0.170536,蔬菜,菠菜,5.7,0.046117,6.68
2019-06-01,555.0,-0.037751,蔬菜,上海青,3.92,0.022662,3.77
2019-06-01,556.0,-0.072907,蔬菜,芹菜,6.09,-0.068793,5.65
2019-06-01,557.0,0.040422,蔬菜,韭菜,4.6,0.225844,4.78
2019-06-01,558.0,-0.040553,蔬菜,油麦菜,4,-0.00072,3.83
2019-06-01,559.0,-0.030046,蔬菜,菜心,5.39,0.021992,5.23
2019-06-01,560.0,-0.033091,蔬菜,生菜,4.04,-0.03124,3.91
2019-06-01,561.0,0.04332,蔬菜,蒜苗,6.8,0.296182,7.1
2019-06-01,562.0,-0.173302,蔬菜,冬瓜,3.05,0.164598,2.52
2019-06-01,563.0,-0.103586,蔬菜,黄瓜,4.08,0.068781,3.66
2019-06-01,564.0,0.056272,蔬菜,西红柿,5.18,0.287031,5.47
2019-06-01,565.0,-0.065768,蔬菜,茄子,4.76,0.229744,4.45
2019-06-01,566.0,-0.035123,蔬菜,白萝卜,2.49,0.140872,2.4
2019-06-01,567.0,0.01828,蔬菜,胡萝卜,3.31,-0.021968,3.37
2019-06-01,568.0,-0.068411,蔬菜,尖椒,6.37,0.366687,5.93
2019-06-01,569.0,-0.06378,蔬菜,青圆椒,6.13,-0.016348,5.74
2019-06-01,570.0,-0.206015,蔬菜,豆角,7.24,0.121657,5.75
2019-06-01,571.0,-0.055717,蔬菜,白花菜,5.4,-0.169002,5.1
2019-06-01,572.0,-0.022519,蔬菜,土豆,3.27,0.035428,3.2
2019-06-01,573.0,-0.108683,蔬菜,西芹,5.8,-0.065385,5.17
2019-06-01,574.0,-0.058379,蔬菜,丝瓜,6.33,0.240453,5.96
2019-06-01,575.0,-0.047959,蔬菜,莴笋,3.93,-0.093868,3.74
2019-06-01,576.0,-0.007139,蔬菜,西洋菜,5.94,0.000728,5.9
2019-06-01,577.0,0.040475,蔬菜,芥菜,4.13,0.062384,4.3
2019-06-01,578.0,-0.083656,蔬菜,通心菜,4.62,0.110284,4.24
2019-06-01,579.0,-0.190103,蔬菜,芥兰,6.52,-0.028869,5.28
2019-06-01,580.0,-0.036416,蔬菜,南瓜,2.97,0.106107,2.86
2019-06-01,581.0,0.302232,蔬菜,莲藕,6.41,0.605041,8.35
2019-06-01,582.0,-0.095876,蔬菜,奶白菜,5.12,-0.000199,4.63
2019-06-01,583.0,-0.157412,蔬菜,苦瓜,6.34,0.264354,5.34
2019-07-01,603.0,0.028053,蔬菜,生姜,7.37,0.075711,7.58
2019-07-01,604.0,0.0362,蔬菜,蒜头,7.35,0.400944,7.62
2019-07-01,605.0,0.055526,蔬菜,大白菜,2.46,-0.025957,2.6
2019-07-01,606.0,0.058221,蔬菜,卷心菜,2.81,0.058211,2.97
2019-07-01,607.0,0.140672,蔬菜,菠菜,6.68,0.002315,7.62
2019-07-01,608.0,0.0382,蔬菜,上海青,3.77,-0.001873,3.92
2019-07-01,609.0,0.104888,蔬菜,芹菜,5.65,0.039855,6.24
2019-07-01,610.0,0.037631,蔬菜,韭菜,4.78,0.222468,4.96
2019-07-01,611.0,0.06702,蔬菜,油麦菜,3.83,0.061686,4.09
2019-07-01,612.0,0.059037,蔬菜,菜心,5.23,0.015103,5.54
2019-07-01,613.0,0.072234,蔬菜,生菜,3.91,0.106323,4.19
2019-07-01,614.0,0.032946,蔬菜,蒜苗,7.1,0.190314,7.33
2019-07-01,615.0,-0.016104,蔬菜,冬瓜,2.52,0.180996,2.48
2019-07-01,616.0,0.048152,蔬菜,黄瓜,3.66,0.073954,3.83
2019-07-01,617.0,-0.131552,蔬菜,西红柿,5.47,0.10614,4.75
