texture,perimeter,smoothness,concavity,symmetry,fractal dimension
32.07,168.2,0.1368,0.4399,0.2268,0.07425
0.9789,3.28,0.01835,0.09263,0.02384,0.005601
16.41,82.85,0.09514,0.1544,0.2082,0.07325
41.85,128.5,0.2226,0.4646,0.4432,0.1086
1.222,1.528,0.009058,0.03029,0.01609,0.00357
2.105,4.138,0.005596,0.01272,0.01575,0.002758
20.13,86.87,0.08284,0.101,0.1601,0.06432
22.88,67.88,0.1265,0.01005,0.2262,0.06742
16.15,86.7,0.1162,0.02758,0.1783,0.07319
25.4,88.14,0.178,0.3186,0.266,0.0927
1.86,2.041,0.01188,0.04591,0.02287,0.006792
18.47,188.5,0.1142,0.3201,0.1648,0.05525
12.02,73.66,0.1436,0.1047,0.209,0.07699
21.84,117.4,0.07371,0.1103,0.177,0.0534
14.71,66.2,0.09882,0.03581,0.1633,0.07005
15.76,58.74,0.09462,0.09263,0.1305,0.07163
0.8225,4.655,0.005627,0.03407,0.01925,0.003742
14.88,64.55,0.1134,0.01084,0.2743,0.0696
21.88,107.5,0.1165,0.1799,0.1869,0.06532
27.2,97.33,0.1428,0.3438,0.2666,0.07686
19.56,78.54,0.09586,0.04187,0.1979,0.06013
0.8944,0.8484,0.003457,0.01167,0.01251,0.001356
2.174,2.077,0.01037,0.02586,0.01816,0.003976
25.84,107.5,0.1257,0.2846,0.2556,0.06828
27.15,152,0.1097,0.3092,0.322,0.06386
40.68,97.65,0.1853,1.105,0.4366,0.2075
20.61,71.53,0.1402,0.1898,0.2608,0.09702
0.5796,1.046,0.01011,0.01981,0.0209,0.002788
1.502,2.203,0.007112,0.02703,0.01958,0.004463
16.07,106.3,0.0988,0.06651,0.199,0.06572
0.9861,1.597,0.009113,0.02443,0.01568,0.002477
16.38,69.05,0.1902,0.2099,0.3038,0.1252
25.2,95.54,0.09387,0.02398,0.1565,0.05504
17.46,174.2,0.1149,0.3368,0.1956,0.06121
1.03,3.475,0.005551,0.04205,0.02273,0.005667
1.534,2.302,0.007595,0.0288,0.0271,0.003451
0.8285,2.567,0.004148,0.002831,0.01422,0.002273
1.56,4.667,0.009327,0.08958,0.02175,0.005195
13.32,82.82,0.1134,0.038,0.1543,0.06476
1.256,7.673,0.0103,0.05198,0.01114,0.004239
24.21,68.89,0.08192,0.01548,0.1976,0.06328
12.49,91.36,0.1451,0.08539,0.271,0.07191
1.046,3.163,0.004369,0.01153,0.01302,0.001309
1.452,8.419,0.01,0.06577,0.05168,0.002887
20.7,89.88,0.1494,0.305,0.2747,0.08301
31.64,143.7,0.1504,0.6181,0.3277,0.1019
22.44,78.18,0.08192,0.01714,0.1544,0.05976
21.31,123.6,0.09009,0.108,0.1582,0.05461
0.9832,2.11,0.004452,0.02681,0.01454,0.003711
15.73,82.89,0.0904,0.05835,0.1705,0.05913
0.9306,3.093,0.005414,0.03452,0.01705,0.004005
1.851,2.376,0.008005,0.03321,0.01462,0.004452
1.081,1.558,0.006692,0.005717,0.01416,0.002476
15.97,83.74,0.1548,0.2102,0.3016,0.08523
33.17,177.4,0.1247,0.7242,0.467,0.1038
18.84,81.87,0.09676,0.02688,0.1759,0.06183
35.59,188,0.1401,0.3155,0.2822,0.07526
0.8121,3.763,0.007089,0.0236,0.02266,0.001463
35.63,97.11,0.1108,0.07934,0.2694,0.07061
2.509,2.394,0.01736,0.02611,0.03675,0.006758
22.47,81.81,0.1249,0.09076,0.3306,0.07036
22.39,142,0.111,0.2439,0.1726,0.05623
40.54,102.5,0.1081,0.3064,0.189,0.07796
18.3,86.6,0.1022,0.03974,0.1638,0.0571
22.46,83.12,0.1183,0.08105,0.274,0.06487
19.98,119.6,0.09463,0.1127,0.1794,0.05742
26.24,171.1,0.1495,0.6121,0.2968,0.09929
16.92,88.12,0.1314,0.09385,0.2775,0.09464
1.216,1.976,0.008732,0.01062,0.01824,0.003494
30.5,91.46,0.1304,0.2434,0.2972,0.09261
1.05,2.455,0.0058,0.007816,0.02734,0.003114
0.5679,1.775,0.002667,0.01423,0.01961,0.0017
0.3628,1.525,0.004291,0.01841,0.009539,0.001656
27.37,127.1,0.1878,0.4704,0.3585,0.1065
19.29,87.65,0.1026,0.3076,0.2677,0.08824
2.22,3.301,0.009369,0.05371,0.02418,0.003249
23.6,98.84,0.1276,0.1786,0.2506,0.07623
0.4064,1.126,0.007809,0.01099,0.01254,0.00212
18.26,84.7,0.1036,0.06735,0.3101,0.06688
1.232,3.27,0.006697,0.03248,0.01536,0.002789
24.49,74.23,0.07474,0.01974,0.1935,0.05878
20.5,97.67,0.1478,0.3009,0.3849,0.08633
26.48,79.57,0.1356,0.08803,0.32,0.06576
28.88,89,0.124,0.1377,0.3455,0.06896
34.91,69.57,0.1384,0.2,0.2226,0.08283
0.5762,1.392,0.003308,0.009904,0.01316,0.002095
15.34,85.31,0.09384,0.09293,0.1822,0.06207
15.39,73.06,0.09639,0.03503,0.1734,0.05865
1.786,1.961,0.006122,0.01596,0.03194,0.002211
12.35,69.14,0.08518,0.01236,0.1449,0.06031
16.02,75.46,0.1088,0.07097,0.1886,0.0632
18.22,112,0.1065,0.3151,0.2688,0.08273
1.142,1.101,0.003418,0.001595,0.01613,0.0009683
0.8282,3.088,0.00609,0.02713,0.01594,0.002658
23.58,229.3,0.153,0.6451,0.369,0.08815
1.182,1.174,0.005515,0.03735,0.01951,0.004583
21.6,165.5,0.103,0.231,0.1991,0.06739
16.52,79.19,0.09172,0.03372,0.172,0.05914
1.926,1.011,0.007831,0.01556,0.03139,0.001988
17.15,80.62,0.08583,0.02966,0.1799,0.05826
20.39,69.5,0.1082,0.08448,0.1668,0.06862
20.22,70.15,0.09073,0.228,0.2188,0.0845
23.97,143.7,0.1286,0.3754,0.2906,0.08142
21.51,135.9,0.117,0.2565,0.2569,0.0667
1.478,3.212,0.009853,0.06271,0.02639,0.004205
1.376,2.806,0.008565,0.0643,0.01516,0.004976
25.48,160.2,0.1268,0.4433,0.3077,0.07569
0.6538,3.021,0.01017,0.02789,0.03127,0.009423
21.06,90.72,0.09534,0.1901,0.1988,0.07053
18.32,59.82,0.1009,0.0271,0.1506,0.06959
20.14,87.64,0.1374,0.1514,0.246,0.07262
1.354,1.994,0.004147,0.03379,0.01394,0.002327
23.29,93.97,0.08682,0.0839,0.1627,0.05416
21.32,150.6,0.1679,0.7345,0.3799,0.09185
12.71,85.69,0.07376,0.002758,0.1365,0.05335
16.54,94.15,0.09751,0.08007,0.1912,0.06412
29.72,58.08,0.163,0.5381,0.3322,0.1486
18.52,121.1,0.09874,0.1335,0.2132,0.06022
20.26,130.5,0.1037,0.1411,0.1802,0.06188
12.74,76.84,0.09311,0.01972,0.159,0.05907
25.44,106,0.1142,0.2437,0.2455,0.06596
14.95,78.29,0.08682,0.02109,0.1571,0.05708
28.03,117.3,0.09997,0.1698,0.1713,0.05916
1.078,2.903,0.009769,0.05051,0.02981,0.003002
25.82,102.3,0.1045,0.0775,0.2646,0.06085
2.91,5.801,0.007545,0.02134,0.03056,0.01039
26.15,87.54,0.15,0.1503,0.2438,0.08541
33.21,122.4,0.1525,0.5539,0.4264,0.1275
0.7959,0.9857,0.006272,0.03966,0.0132,0.003813
20.76,77.87,0.08605,0.06574,0.1588,0.06766
2.09,1.648,0.01291,0.004174,0.02572,0.002278
22.04,152.1,0.08439,0.1324,0.1801,0.05553
0.7884,2.312,0.007295,0.04615,0.01561,0.00323
1.205,2.362,0.004625,0.07359,0.02137,0.006142
23,104.6,0.1216,0.06648,0.2404,0.06428
0.7383,2.819,0.004493,0.02048,0.01144,0.001575
2.508,3.258,0.006578,0.02662,0.01359,0.003707
0.6863,3.868,0.004536,0.02645,0.02193,0.001589
22.15,91.62,0.1225,0.1887,0.327,0.0733
20.2,101.6,0.1264,0.1206,0.2806,0.07782
17.66,95.88,0.09179,0.04069,0.1893,0.05886
27,165.3,0.1211,0.6991,0.3126,0.07849
22.43,89.02,0.1096,0.2388,0.2121,0.07188
24.13,135.1,0.128,0.2623,0.3021,0.07987
19.65,97.83,0.07837,0.3003,0.1704,0.07769
17.57,96.85,0.1167,0.1539,0.1957,0.06216
20.74,117.4,0.1115,0.1855,0.1971,0.06166
1.916,2.591,0.005436,0.03099,0.0203,0.003009
21.24,137.8,0.1085,0.2188,0.1848,0.06222
28.64,170.3,0.1353,0.3617,0.307,0.08255
0.6329,1.52,0.00721,0.01311,0.01996,0.002635
28.46,84.53,0.1222,0.03619,0.2554,0.07207
1.509,4.554,0.006016,0.04232,0.02657,0.004411
18.42,127.1,0.09862,0.1048,0.1783,0.05871
21.78,133.8,0.0915,0.09799,0.1618,0.05557
34.27,104.3,0.138,0.4234,0.2698,0.08351
19.76,85.67,0.1296,0.1039,0.2383,0.0641
1.079,2.615,0.007138,0.03829,0.02068,0.006111
20.35,80.79,0.112,0.2079,0.259,0.09158
29.89,105.5,0.1503,0.3728,0.3693,0.09618
17.88,107,0.104,0.1354,0.1998,0.06515
15.21,78.01,0.08673,0.01994,0.1638,0.06129
13.29,79.08,0.1066,0.02855,0.188,0.06471
14.69,76.31,0.08099,0.06726,0.1499,0.06758
38.81,86.04,0.1406,0.2923,0.2884,0.0722
17.93,76.09,0.07683,0.001546,0.1382,0.0607
21.95,99.21,0.1288,0.3439,0.3596,0.09166
19.46,108.4,0.07445,0.0515,0.1844,0.05268
20.02,75.21,0.1016,0.042,0.1859,0.06461
0.9238,2.41,0.007162,0.05473,0.01547,0.007098
21.84,152.1,0.1192,0.4024,0.273,0.08666
14.97,68.26,0.07793,0.02251,0.1399,0.05688
17.46,75.54,0.08372,0.02688,0.1875,0.05715
18.24,109.4,0.1277,0.2604,0.3151,0.08473
1.095,1.566,0.009702,0.02575,0.02801,0.00248
22.4,106.4,0.1862,0.6376,0.3147,0.1405
1.343,1.851,0.01127,0.02187,0.0158,0.003442
0.9234,1.449,0.004477,0.01079,0.01325,0.002551
15.62,70.41,0.1007,0.05115,0.1861,0.06837
1.471,1.597,0.01049,0.04004,0.02719,0.007596
22.49,127.5,0.08523,0.1114,0.1767,0.05529
0.9097,1.466,0.004729,0.001184,0.01466,0.001755
3.568,11.07,0.003139,0.0889,0.04484,0.01284
0.6636,3.055,0.003872,0.0371,0.01964,0.003337
0.7614,1.808,0.006142,0.001835,0.01637,0.002665
0.3871,1.143,0.006034,0.03336,0.01175,0.002256
15.92,113.7,0.1222,0.2962,0.232,0.07474
1.14,2.225,0.005463,0.02079,0.01477,0.003071
1.042,1.614,0.00591,0.01902,0.01202,0.003107
20.58,120.8,0.1068,0.1569,0.186,0.05941
1.803,2.711,0.01291,0.05101,0.02144,0.005891
0.9849,3.564,0.005771,0.02791,0.02008,0.004144
19.07,81.92,0.0876,0.103,0.1533,0.06184
15.18,88.99,0.09516,0.04479,0.211,0.05853
25,140.9,0.1434,0.3853,0.2812,0.08198
26.43,76.38,0.1108,0.02533,0.2557,0.07613
27.84,158.3,0.1178,0.3861,0.2909,0.05865
30.41,152.9,0.1249,0.5755,0.3956,0.09288
18,98.4,0.1281,0.05307,0.21,0.07083
25.09,130.9,0.1416,0.3378,0.3138,0.08113
1.849,5.632,0.01075,0.05081,0.02293,0.004217
15.51,105.8,0.09491,0.1204,0.1782,0.05976
24.89,77.61,0.103,0.05441,0.182,0.0685
1.387,1.342,0.005158,0.01056,0.01718,0.002198
1.265,2.844,0.004877,0.02219,0.01535,0.002373
17.48,65.05,0.08054,0.05774,0.1964,0.06315
