,Fruits & vegetables,Meat,Milk products,Canned vegetables,Canned meat,Frozen goods,Beer,Wine,Soda drinks,Fish,Textile
127,No,No,No,No,Yes,No,No,Yes,No,No,Yes
128,Yes,No,Yes,No,No,No,No,No,No,Yes,No
129,No,Yes,No,No,No,No,No,No,No,No,No
130,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
131,No,No,No,No,No,Yes,No,No,Yes,No,No
132,No,No,Yes,Yes,No,No,No,No,No,No,No
133,No,No,No,Yes,No,No,No,No,No,No,No
134,No,No,No,No,No,No,Yes,No,No,No,No
135,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
136,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No
137,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
138,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
139,Yes,No,No,No,No,No,No,No,No,No,No
140,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
141,No,No,No,No,No,No,No,Yes,Yes,No,No
142,No,No,No,Yes,No,Yes,Yes,No,No,No,No
143,Yes,No,No,No,No,No,No,No,No,No,No
144,No,No,No,Yes,No,No,No,No,No,No,No
145,No,No,No,No,No,No,No,No,No,No,No
146,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
147,No,No,No,No,Yes,Yes,Yes,No,No,No,No
148,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No
149,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No
150,No,No,No,No,Yes,No,No,No,No,No,No
151,No,No,No,Yes,No,No,No,No,No,Yes,No
152,No,Yes,No,No,Yes,No,No,No,No,No,No
153,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes
154,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
155,Yes,Yes,No,No,No,No,No,No,Yes,No,No
156,No,No,No,Yes,No,No,No,No,No,No,No
157,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
158,No,No,No,No,Yes,No,No,No,No,Yes,No
159,No,No,No,Yes,No,Yes,No,No,No,No,No
160,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
161,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
162,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
163,No,No,No,No,No,No,No,No,No,No,No
164,No,No,No,No,No,No,No,Yes,No,No,No
165,Yes,No,No,No,No,No,No,Yes,No,No,Yes
166,No,No,No,No,No,Yes,No,No,No,No,No
167,Yes,No,No,No,No,Yes,Yes,No,No,No,No
168,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes
169,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No
170,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
171,No,No,No,No,No,No,No,No,No,No,No
172,No,No,No,No,No,No,No,Yes,Yes,No,No
173,No,Yes,No,No,No,No,Yes,No,No,No,No
174,No,No,No,No,No,No,Yes,No,Yes,Yes,No
175,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
176,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
177,No,No,No,No,No,No,No,Yes,No,No,Yes
178,Yes,No,No,No,No,No,Yes,No,No,No,No
179,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
180,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
181,No,No,No,Yes,No,No,Yes,No,No,No,No
182,No,No,No,No,Yes,No,No,No,No,No,No
183,Yes,No,No,No,Yes,No,No,No,No,Yes,No
184,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
185,Yes,No,No,No,No,No,Yes,No,No,No,No
186,Yes,No,No,No,No,No,No,Yes,No,No,Yes
187,No,Yes,No,No,No,No,No,No,No,Yes,Yes
188,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
189,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
190,No,No,No,No,No,No,Yes,No,No,No,No
191,No,No,No,No,No,No,No,No,Yes,Yes,No
192,No,No,Yes,No,No,No,No,No,No,No,No
193,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
194,No,No,No,No,No,No,No,No,No,No,No
195,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
196,No,No,No,No,No,Yes,No,No,No,No,No
197,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
198,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
199,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
200,No,No,No,No,No,Yes,No,No,No,No,Yes
201,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
202,No,No,No,No,Yes,No,Yes,No,No,No,No
203,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
204,No,No,No,No,No,No,Yes,No,No,No,Yes
205,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
206,No,No,No,No,No,No,No,No,No,No,Yes
207,No,No,No,No,Yes,No,No,No,Yes,No,Yes
208,No,No,No,Yes,No,No,No,Yes,No,No,Yes
209,Yes,No,No,No,No,No,No,No,No,Yes,Yes
210,No,No,No,No,No,No,No,Yes,No,No,Yes
211,No,No,No,No,Yes,No,No,No,No,Yes,No
212,No,No,No,No,Yes,No,No,No,No,No,No
213,Yes,No,No,No,Yes,No,No,No,No,Yes,No
214,No,Yes,No,No,Yes,No,No,No,No,No,Yes
215,Yes,No,No,Yes,No,No,No,Yes,No,No,No
216,Yes,No,Yes,No,No,No,No,No,No,No,No
217,No,No,No,Yes,No,No,No,Yes,No,No,Yes
218,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
219,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
220,Yes,No,No,No,No,No,No,Yes,No,Yes,No
221,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
222,No,Yes,No,No,No,No,No,Yes,No,No,Yes
223,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
224,Yes,No,No,No,No,No,No,Yes,No,No,Yes
225,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes
226,No,No,No,No,No,No,Yes,No,No,No,No
227,No,No,No,No,No,No,No,No,No,No,No
228,No,Yes,No,No,No,No,No,No,No,No,No
229,No,No,No,No,No,No,No,Yes,No,No,Yes
230,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
231,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes
232,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
233,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
234,No,No,Yes,No,No,Yes,No,No,No,No,No
235,No,No,No,No,No,No,No,No,No,No,No
236,No,No,No,No,No,No,Yes,No,No,No,No
237,No,No,No,No,No,No,No,Yes,No,Yes,No
238,No,No,No,No,No,No,No,Yes,No,No,Yes
239,No,No,No,No,No,No,Yes,No,No,No,No
240,No,No,No,No,Yes,No,No,No,No,No,No
241,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
242,No,No,No,No,No,No,No,No,No,No,No
243,Yes,Yes,No,No,No,No,No,No,No,No,Yes
244,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
245,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
246,No,No,No,No,No,No,No,No,No,Yes,No
247,No,No,No,No,No,No,No,No,No,No,Yes
248,No,No,No,No,No,No,No,No,No,No,Yes
249,No,No,No,No,No,No,No,No,No,No,Yes
250,Yes,No,Yes,No,No,No,No,No,No,No,No
251,No,No,No,No,No,No,No,No,Yes,No,No
252,No,No,No,Yes,No,No,No,No,No,No,No
253,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
254,No,No,No,No,No,No,No,No,Yes,No,No
255,No,No,No,No,No,Yes,No,Yes,No,No,Yes
256,No,No,No,Yes,No,No,No,No,No,No,Yes
257,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
258,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
259,No,No,No,No,No,No,No,No,No,No,No
260,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
261,No,No,No,Yes,No,No,No,No,No,No,No
262,Yes,Yes,No,No,No,No,No,No,No,No,No
263,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
264,Yes,No,No,No,No,Yes,No,No,No,Yes,No
265,Yes,No,No,No,No,No,No,Yes,No,No,No
266,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No
267,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No
268,No,No,No,No,No,Yes,Yes,Yes,No,No,No
269,No,Yes,No,No,No,No,No,No,No,No,No
270,No,No,No,No,No,Yes,No,No,No,No,Yes
271,Yes,No,No,No,No,No,No,No,No,No,No
272,No,No,No,Yes,No,No,No,Yes,No,No,Yes
273,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes
274,No,No,No,Yes,No,No,No,No,No,No,No
275,No,No,No,No,No,No,Yes,Yes,No,No,Yes
276,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
277,No,No,No,No,No,No,No,No,No,No,No
278,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
279,No,No,No,No,No,No,No,No,No,No,No
280,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
281,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
282,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
283,No,No,No,No,No,No,No,Yes,No,No,No
284,No,No,No,Yes,Yes,No,No,Yes,No,No,No
285,No,No,No,No,No,No,No,Yes,No,No,Yes
286,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
287,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
288,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No
289,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
290,No,Yes,No,No,No,No,No,Yes,No,No,Yes
291,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
292,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
293,Yes,No,No,Yes,No,No,No,Yes,No,No,No
294,Yes,No,Yes,No,No,No,No,No,No,No,No
295,Yes,No,No,No,No,Yes,No,No,No,Yes,No
296,Yes,Yes,No,No,No,No,No,No,No,Yes,No
297,No,Yes,No,No,No,No,No,No,No,No,Yes
298,Yes,No,No,No,No,No,No,No,No,No,No
299,Yes,No,No,No,No,No,No,No,No,Yes,No
300,Yes,No,No,No,Yes,No,No,No,No,No,No
301,No,No,No,Yes,No,No,No,Yes,Yes,No,No
302,No,No,No,No,No,No,No,No,No,No,No
303,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
304,No,No,No,No,No,No,No,Yes,No,No,Yes
305,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
306,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
307,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
308,No,No,No,No,No,No,Yes,No,No,No,No
309,No,No,No,No,No,No,Yes,No,No,No,No
310,No,No,No,No,No,No,No,No,No,Yes,No
311,No,No,No,Yes,No,No,No,No,No,No,No
312,No,No,No,No,No,No,No,No,No,No,No
313,No,No,No,No,No,No,No,No,No,No,No
314,Yes,No,No,No,No,No,No,No,No,No,Yes
315,No,No,No,No,No,No,No,No,No,No,No
316,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
317,No,No,Yes,No,No,No,No,No,No,Yes,No
318,No,No,No,Yes,No,Yes,Yes,No,No,No,No
319,No,No,Yes,No,No,No,No,No,No,Yes,Yes
320,No,Yes,Yes,No,Yes,No,No,No,No,No,No
321,No,No,Yes,No,No,No,No,No,No,No,No
322,No,No,No,Yes,No,Yes,Yes,No,No,No,No
323,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
324,No,No,No,Yes,No,Yes,Yes,No,No,No,No
325,No,No,No,Yes,Yes,Yes,No,No,No,No,No
326,No,No,No,No,No,No,No,No,No,No,No
327,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes
328,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes
329,No,No,No,No,No,No,No,No,No,Yes,No
330,No,No,No,No,Yes,No,No,No,No,No,No
331,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
332,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
333,No,No,No,No,Yes,Yes,No,No,No,No,No
334,No,No,No,Yes,Yes,No,No,No,No,No,No
335,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
336,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
337,No,No,No,No,Yes,No,No,No,Yes,No,No
338,No,No,No,No,No,No,No,No,No,No,No
339,Yes,Yes,No,No,No,No,No,No,Yes,No,No
340,No,No,No,Yes,No,No,No,No,No,No,Yes
341,Yes,No,Yes,No,No,No,No,No,No,No,Yes
342,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
343,No,No,Yes,No,No,No,No,No,No,No,No
344,No,No,No,No,No,No,No,Yes,No,No,No
345,No,No,No,No,No,No,Yes,No,No,No,Yes
346,No,No,No,Yes,No,Yes,Yes,No,No,No,No
347,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes
348,No,No,No,No,No,No,No,No,No,No,No
349,Yes,No,No,No,Yes,No,Yes,No,No,No,No
350,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
351,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
352,No,No,No,No,No,No,No,No,No,No,No
353,Yes,No,No,No,No,No,No,No,Yes,No,No
354,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
355,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
356,No,Yes,No,No,No,No,No,No,No,No,Yes
357,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
358,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
359,No,No,No,No,No,No,No,No,No,No,No
360,No,No,No,Yes,No,No,No,No,No,No,No
361,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
362,No,No,No,No,No,No,No,No,No,No,No
363,No,No,Yes,Yes,No,No,No,No,Yes,No,No
364,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No
365,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes
366,Yes,No,No,No,No,No,No,Yes,No,No,Yes
367,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
368,No,No,Yes,No,No,No,No,Yes,Yes,No,No
369,No,No,Yes,No,No,No,No,Yes,No,No,Yes
370,No,No,No,No,No,No,No,No,No,No,Yes
371,No,Yes,No,No,No,No,No,No,No,No,No
372,Yes,No,No,No,No,No,No,No,No,Yes,No
373,Yes,No,No,No,No,No,No,No,No,No,No
374,Yes,No,No,No,No,No,No,No,No,Yes,Yes
375,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes
376,No,No,Yes,No,No,No,No,No,No,Yes,Yes
377,No,No,No,No,No,No,No,No,No,Yes,No
378,No,No,No,No,No,No,No,No,Yes,Yes,No
379,Yes,No,No,No,No,No,No,No,No,Yes,No
380,No,Yes,No,No,No,No,No,No,No,No,No
381,No,No,No,Yes,No,Yes,No,No,Yes,No,No
382,Yes,No,No,No,No,No,No,Yes,Yes,No,No
383,No,No,No,No,No,Yes,No,No,Yes,Yes,No
384,No,No,Yes,No,No,No,No,No,No,Yes,Yes
385,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
386,Yes,No,No,No,No,No,Yes,No,No,Yes,No
387,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes
388,No,No,Yes,No,No,No,Yes,No,No,No,No
389,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
390,No,Yes,No,No,No,No,No,No,No,No,Yes
391,No,Yes,No,No,No,Yes,No,No,No,No,No
392,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
393,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No
394,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
395,No,No,No,No,No,No,No,No,No,Yes,No
396,No,No,No,No,No,No,No,No,No,No,No
397,No,No,No,No,No,No,No,No,No,Yes,Yes
398,No,No,No,No,No,No,No,No,No,Yes,Yes
399,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
400,No,No,No,Yes,No,Yes,Yes,No,No,No,No
401,No,No,Yes,No,No,No,No,No,Yes,No,No
402,Yes,No,No,No,No,No,No,No,No,Yes,No
403,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
404,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
405,Yes,No,No,No,No,Yes,No,No,No,Yes,No
406,No,No,No,No,Yes,No,No,Yes,No,No,Yes
407,No,Yes,No,Yes,No,No,No,Yes,No,No,No
408,No,No,No,No,No,Yes,No,No,No,No,No
409,No,No,No,No,No,No,No,Yes,No,Yes,No
410,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
411,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
412,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
413,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
414,No,No,No,No,No,No,No,Yes,Yes,No,Yes
415,No,No,No,No,No,No,No,No,No,No,No
416,Yes,Yes,No,No,No,No,No,No,No,Yes,No
417,No,No,No,No,No,No,No,No,No,No,No
418,No,No,Yes,No,No,No,No,No,No,No,No
419,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
420,No,No,Yes,No,No,No,No,No,No,Yes,No
421,No,No,No,Yes,No,Yes,Yes,No,No,No,No
422,No,No,No,No,No,Yes,No,No,No,Yes,No
423,No,Yes,No,No,No,No,Yes,No,No,No,No
424,Yes,No,No,No,Yes,Yes,No,No,No,No,No
425,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
426,No,No,Yes,No,No,No,No,No,No,No,No
427,No,No,No,No,Yes,No,No,Yes,No,No,No
428,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes
429,No,No,No,No,No,No,No,No,No,No,No
430,Yes,No,Yes,No,No,No,No,No,No,No,No
431,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
432,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No
433,No,No,No,No,No,No,No,No,No,No,No
434,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
435,No,No,No,Yes,No,No,No,No,No,No,Yes
436,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No
437,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
438,No,No,No,Yes,No,Yes,No,No,Yes,No,No
439,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No
440,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
441,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
442,No,No,No,Yes,No,Yes,No,No,No,No,No
443,Yes,No,No,No,No,No,No,Yes,No,No,No
444,Yes,No,No,No,No,No,Yes,No,No,Yes,No
445,No,No,Yes,No,No,No,No,Yes,No,No,Yes
446,No,Yes,No,No,No,No,No,No,No,No,No
447,No,No,No,Yes,No,Yes,Yes,No,No,No,No
448,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
449,No,No,No,No,Yes,Yes,No,No,No,No,Yes
450,No,No,No,No,No,No,No,Yes,No,No,Yes
451,No,Yes,No,No,No,No,No,No,No,Yes,No
452,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
453,Yes,No,No,No,Yes,No,No,No,No,No,No
454,No,No,No,No,No,No,Yes,No,No,No,No
455,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No
456,No,No,No,No,No,No,No,No,Yes,Yes,Yes
457,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
458,No,No,No,No,Yes,Yes,No,No,No,No,No
459,No,No,No,No,Yes,No,No,Yes,No,No,No
460,Yes,No,No,No,Yes,No,No,No,No,Yes,No
461,Yes,Yes,No,No,No,No,No,No,No,Yes,No
462,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
463,No,No,No,No,No,No,No,Yes,No,No,Yes
464,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
465,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
466,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
467,No,Yes,No,No,No,No,No,No,No,No,No
468,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
